,name,handedness,height,weight,avg,HR,height_group,weight_group,avg_group
674,Mike Parrott,R,76,210,0.0,0,"(75, 76]","(205, 210]","[0.0, 0.02)"
675,Lee Thomas,L,74,195,0.255,106,"(73, 74]","(190, 195]","[0.24, 0.26)"
676,Ray Fosse,R,74,215,0.256,61,"(73, 74]","(210, 215]","[0.24, 0.26)"
677,Paul Popovich,B,72,175,0.233,14,"(71, 72]","(170, 175]","[0.22, 0.24)"
678,John Stephenson,L,71,180,0.21600000000000003,12,"(70, 71]","(175, 180]","[0.2, 0.22)"
679,Doug Clemens,L,72,180,0.22899999999999998,12,"(71, 72]","(175, 180]","[0.22, 0.24)"
680,Luis Aponte,R,72,185,0.0,0,"(71, 72]","(180, 185]","[0.0, 0.02)"
681,Orlando Mercado,R,72,180,0.19899999999999998,7,"(71, 72]","(175, 180]","[0.18, 0.2)"
682,Charley Smith,R,73,170,0.239,69,"(72, 73]","(165, 170]","[0.22, 0.24)"
683,Paul Boris,R,74,200,0.0,0,"(73, 74]","(195, 200]","[0.0, 0.02)"
684,Buddy Biancalana,B,71,160,0.205,6,"(70, 71]","(155, 160]","[0.2, 0.22)"
685,De Wayne Buice,R,72,170,0.0,0,"(71, 72]","(165, 170]","[0.0, 0.02)"
686,Bob Uecker,R,73,190,0.2,14,"(72, 73]","(185, 190]","[0.2, 0.22)"
687,Felix Torres,R,71,165,0.254,27,"(70, 71]","(160, 165]","[0.24, 0.26)"
688,Steve Braun,L,70,180,0.271,52,"(69, 70]","(175, 180]","[0.26, 0.28)"
689,Ray Knight,R,73,185,0.271,84,"(72, 73]","(180, 185]","[0.26, 0.28)"
690,Ty Cline,L,72,170,0.23800000000000002,6,"(71, 72]","(165, 170]","[0.22, 0.24)"
691,Thad Bosley,L,75,175,0.272,20,"(74, 75]","(170, 175]","[0.26, 0.28)"
692,Bobby Grich,R,74,180,0.266,224,"(73, 74]","(175, 180]","[0.26, 0.28)"
693,Jimmie Hall,L,72,175,0.254,121,"(71, 72]","(170, 175]","[0.24, 0.26)"
694,John Boccabella,R,73,195,0.21899999999999997,26,"(72, 73]","(190, 195]","[0.2, 0.22)"
695,Brock Davis,L,70,160,0.26,1,"(69, 70]","(155, 160]","[0.26, 0.28)"
696,Mark Esser,R,73,190,0.0,0,"(72, 73]","(185, 190]","[0.0, 0.02)"
697,Curt Blefary,L,74,195,0.237,112,"(73, 74]","(190, 195]","[0.22, 0.24)"
698,Daryl Smith,R,76,185,0.0,0,"(75, 76]","(180, 185]","[0.0, 0.02)"
699,Dave Smith,R,73,190,0.0,0,"(72, 73]","(185, 190]","[0.0, 0.02)"
700,Mack Jones,L,73,180,0.252,133,"(72, 73]","(175, 180]","[0.24, 0.26)"
701,Buddy Bradford,R,71,170,0.226,52,"(70, 71]","(165, 170]","[0.22, 0.24)"
702,Hosken Powell,L,73,175,0.259,17,"(72, 73]","(170, 175]","[0.24, 0.26)"
703,Dave Stapleton,L,73,185,0.0,0,"(72, 73]","(180, 185]","[0.0, 0.02)"
704,Dave Stapleton,R,73,178,0.271,41,"(72, 73]","(175, 180]","[0.26, 0.28)"
705,Gary Ward,R,74,195,0.276,130,"(73, 74]","(190, 195]","[0.26, 0.28)"
706,Jim Lonborg,R,77,200,0.136,3,"(76, 77]","(195, 200]","[0.12, 0.14)"
707,Joe Lis,R,72,175,0.233,32,"(71, 72]","(170, 175]","[0.22, 0.24)"
708,Dan Meyer,L,71,180,0.253,86,"(70, 71]","(175, 180]","[0.24, 0.26)"
709,Jim Holt,L,72,180,0.265,19,"(71, 72]","(175, 180]","[0.26, 0.28)"
710,Tom Klawitter,R,74,190,0.0,0,"(73, 74]","(185, 190]","[0.0, 0.02)"
711,Larry Herndon,R,75,190,0.27399999999999997,107,"(74, 75]","(185, 190]","[0.26, 0.28)"
